ts	Sample#	A	B	dx	F
254453463.00000	81.00000	-43.72218	-29.45578	15.24301	-0.25335
254453481.00000	82.00000	-43.73210	-29.41112	15.45647	-0.25335
254453509.00000	83.00000	-43.71226	-29.43841	15.24636	-0.29761
254453536.00000	84.00000	-43.75195	-29.42104	15.46225	-0.38155
254453563.00000	85.00000	-43.74451	-29.43841	15.23814	-0.58606
254453581.00000	86.00000	-43.75940	-29.41608	15.45373	-0.59064
254453599.00000	87.00000	-43.77180	-29.45826	15.45251	-0.98593
254453618.00000	88.00000	-43.70481	-29.42600	15.45434	-0.98440
254453636.00000	89.00000	-43.76932	-29.41856	15.46225	-1.51094
254453654.00000	90.00000	-43.77180	-29.46570	15.45281	-1.50941
254453681.00000	91.00000	-43.77676	-29.44585	15.44307	-1.85433
254453799.00000	92.00000	-43.76188	-29.41856	15.43576	-1.30185
254453827.00000	93.00000	-43.72218	-29.45578	15.21347	-1.30032
254453845.00000	94.00000	-43.74203	-29.41856	15.22321	-0.94777
254453863.00000	95.00000	-43.76932	-29.45082	15.21591	-0.63185
254453882.00000	96.00000	-43.77180	-29.47315	15.20494	-0.63185
254453900.00000	97.00000	-43.74947	-29.46074	15.44642	-0.30219
254453919.00000	98.00000	-43.74203	-29.45826	15.44094	-0.30219
254453937.00000	99.00000	-43.77180	-29.46322	15.44337	-0.06105
254454000.00000	100.00000	-43.71722	-29.43593	15.45434	0.11904
254454028.00000	101.00000	-43.75692	-29.41360	15.23113	0.11752
254454046.00000	102.00000	-43.77428	-29.45082	15.22078	0.17093
254454077.00000	103.00000	-43.75940	-29.41112	15.45860	0.17399
254454095.00000	104.00000	-43.77428	-29.46074	15.46195	0.13736
254454120.00000	105.00000	-43.76932	-29.42104	15.45799	0.13888
254454137.00000	106.00000	-43.71226	-29.43841	15.46134	0.16178
254454155.00000	107.00000	-43.68248	-29.35405	15.47200	0.16178
254454173.00000	108.00000	-43.67752	-29.36150	15.46956	0.38002
254454191.00000	109.00000	-43.65519	-29.36646	15.24301	0.38155
254454220.00000	110.00000	-43.62790	-29.31932	15.47382	0.72342
254454248.00000	111.00000	-43.59068	-29.29947	15.23935	0.83788
254454267.00000	112.00000	-43.51129	-29.24736	15.24879	0.89283
254454315.00000	113.00000	-43.36986	-29.12331	15.51097	0.96761
254454335.00000	114.00000	-43.34505	-29.03151	15.51524	1.04850
254454353.00000	115.00000	-43.32024	-29.00422	15.51889	1.04850
254454371.00000	116.00000	-43.24333	-28.95211	15.28016	1.11718
254454389.00000	117.00000	-43.17633	-28.88264	15.29599	1.11871
254454407.00000	118.00000	-43.17633	-28.86279	15.29477	1.17212
254454425.00000	119.00000	-43.11927	-28.80573	15.30482	1.17365
254454453.00000	120.00000	-43.02002	-28.70152	15.56761	1.18891
254454481.00000	121.00000	-42.86123	-28.52040	15.57797	1.17518
254454510.00000	122.00000	-42.65034	-28.30206	15.33801	1.15991
